x_pos, y_pos, orientation, steering_angle, speed
35.0534, 8.09525, 0.643726, 0.186384, 3.97953
35.3365, 8.32966, 0.765587, 0.196274, 4.00752
35.5507, 8.61143, 0.904327, 0.206748, 4.01657
35.7272, 8.91144, 1.0502, 0.221804, 4.04076
35.817, 9.23761, 1.21743, 0.242288, 4.05036
35.8508, 9.5854, 1.39891, 0.262765, 4.06636
35.7792, 9.94474, 1.607, 0.286219, 4.09226
35.651, 10.3033, 1.81896, 0.307778, 4.12201
35.4298, 10.6386, 2.04902, 0.330099, 4.14013
35.1494, 11.0213, 2.10093, 0.324508, 4.1713
34.8476, 11.3481, 2.17452, 0.324976, 4.17796
34.5259, 11.6539, 2.24849, 0.320792, 4.18157
34.1823, 11.9097, 2.33526, 0.321004, 4.1948
33.8376, 12.166, 2.40219, 0.31821, 4.20684
33.4854, 12.3682, 2.48666, 0.320044, 4.2349
33.0903, 12.5412, 2.5789, 0.321665, 4.27299
32.6914, 12.6445, 2.69336, 0.327053, 4.31291
32.2565, 12.6879, 2.82213, 0.329494, 4.34279
31.8131, 12.6437, 2.974, 0.337957, 4.36553
31.3879, 12.4034, -2.94157, 0.37133, 4.40443
30.9739, 12.0158, -2.57805, 0.396138, 4.46682
30.6417, 11.518, -2.23447, 0.41371, 4.54398
30.4595, 10.8936, -1.88746, 0.42601, 4.60298
30.3983, 10.233, -1.58851, 0.416537, 4.68716
30.5326, 9.56041, -1.2918, 0.409582, 4.75914
30.8047, 8.9387, -1.0267, 0.391861, 4.83918
31.2218, 8.39032, -0.774255, 0.373273, 4.93633
31.7115, 7.94666, -0.553268, 0.348254, 5.01847
32.2557, 7.62543, -0.340628, 0.329439, 5.10778
32.8282, 7.43473, -0.128925, 0.312883, 5.20763
33.3837, 7.38651, 0.0892465, 0.304754, 5.25955
33.9062, 7.48616, 0.328447, 0.313094, 5.31729
34.3665, 7.69047, 0.575453, 0.317509, 5.39248
34.7464, 7.92294, 0.681761, 0.321947, 5.44196
35.042, 8.19847, 0.829792, 0.345708, 5.47592
35.2532, 8.52541, 1.02317, 0.378306, 5.51071
35.3726, 8.87935, 1.26242, 0.418953, 5.57751
35.3465, 9.24507, 1.57516, 0.473907, 5.63041
35.1638, 9.58574, 1.96464, 0.537844, 5.67662
34.7721, 9.8433, 2.45184, 0.625483, 5.74628
34.1965, 9.90857, 3.03241, 0.723321, 5.82512
33.6267, 9.56554, -2.48793, 0.77713, 5.88911
33.3428, 8.91972, -1.73733, 0.771909, 5.96295
33.4766, 8.24837, -1.05484, 0.713573, 6.01649
33.9128, 7.77864, -0.479249, 0.633178, 6.06988
34.4737, 7.60265, 0.0145643, 0.576302, 6.10911
34.9911, 7.7337, 0.490833, 0.556539, 6.112
35.3739, 8.12462, 0.98234, 0.565952, 6.15818
35.5262, 8.62403, 1.39535, 0.601052, 6.17969
35.4302, 9.17469, 1.86777, 0.649263, 6.21604
35.0263, 9.65212, 2.41835, 0.715168, 6.25768
34.3701, 9.8964, 3.0308, 2.56587, 6.31952
34.088, 11.2909, 0.842844, 2.63474, 6.35061
34.523, 11.7458, 0.142593, 2.34786, 6.43036
35.0323, 11.463, -0.737282, 2.11773, 6.50999
35.1913, 10.6176, -2.01539, 1.90821, 6.59343
34.5888, 10.2466, 2.18453, 1.45195, 6.68045
34.5622, 10.018, 2.13485, 0.54063, 6.68682
34.1077, 10.3824, 2.61389, 0.592586, 6.71424
33.4612, 10.3645, 2.73019, 0.0791318, 6.73066
32.8815, 10.5067, 2.77518, -0.0629042, 6.70773
32.286, 10.6865, 2.80107, 0.0653954, 6.70495
31.6824, 10.8072, 2.93724, 0.197426, 6.68746
31.0186, 10.795, 0.456024, -1.53309, 6.65235
31.0839, 10.7479, -0.120135, 1.54177, 6.15206
31.1599, 10.7869, -1.72439, 0.532606, 6.20346
31.1486, 10.0328, -1.35578, 0.510324, 6.20231
31.3496, 9.35544, -1.02102, 0.476534, 6.20386
31.732, 8.80939, -0.697493, 0.477994, 6.19143
32.2614, 8.37129, -0.4152, 0.451062, 6.16846
32.8437, 8.07009, -0.183712, 0.403454, 6.15912
33.4467, 7.93092, 0.0382715, 0.380907, 6.11876
34.0684, 7.92662, 0.251943, 0.372352, 6.09029
34.6406, 8.04662, 0.471031, 0.374246, 6.07377
35.1327, 8.26062, 0.698155, 0.380874, 6.03275
35.5323, 8.5749, 0.943896, 0.394064, 5.99075
35.7961, 8.99605, 1.23389, 0.427674, 5.9649
35.8491, 9.43153, 1.5961, 0.479147, 5.93033
35.6974, 9.8452, 2.02445, 0.548168, 5.90904
35.2942, 10.127, 2.55863, 0.637892, 5.86547
34.7021, 10.1347, 3.36916, 0.890996, 5.83952
34.1796, 9.61479, -2.10392, 0.740666, 5.83037
33.9705, 8.92331, -1.5251, 0.74265, 5.80488
34.06, 8.22644, -1.00981, 0.757437, 5.77159
34.3838, 7.67869, -0.541834, 0.66811, 5.73782
34.8486, 7.34324, -0.182638, 0.595264, 5.7106
35.3236, 7.21529, 0.131826, 0.525443, 5.68391
35.8076, 7.27559, 0.4297, 0.49342, 5.62749
36.2372, 7.45257, 0.706834, 0.471926, 5.60468
36.5553, 7.74541, 0.999816, 0.478184, 5.58653
36.7519, 8.1201, 1.31556, 0.494433, 5.56061
36.75, 8.50402, 1.69365, 0.537963, 5.54721
36.5699, 8.84705, 2.12803, 0.591505, 5.53532
36.1794, 9.08923, 2.63107, 0.656421, 5.51439
35.6724, 9.1088, 3.17305, 0.700258, 5.51282
35.2251, 8.72782, -2.91221, -0.361839, 5.47511
34.6337, 8.63756, 1.06491, -1.69877, 5.51935
34.5358, 8.79898, -0.701436, 2.12525, 5.37526
34.2248, 5.57765, -2.20376, 0.604228, 5.27051
34.0196, 5.26602, -1.79492, 0.67595, 5.26718
33.9241, 3.99047, -1.2701, 0.661058, 5.36781
34.1962, 3.47553, -0.811622, 0.660408, 5.35436
34.6464, 3.19891, -0.327425, 0.674464, 5.3215
35.1796, 3.09008, 0.11747, 0.657741, 5.3281
35.6608, 3.15677, 0.527088, 0.627781, 5.31386
36.0223, 3.31928, 0.896691, 0.579956, 5.30693
36.235, 3.50061, 1.24604, 0.548642, 5.2415
36.2543, 3.7407, 1.65659, 0.578622, 5.16989
36.1116, 4.08709, 2.09806, 0.626263, 5.14037
35.742, 4.30112, 2.62557, 0.701981, 5.11391
35.2348, 4.19001, 0.94265, -1.38713, 5.17188
35.338, 1.87074, -2.33527, 0.742517, 5.28441
35.0464, 1.33205, -1.83238, 0.673754, 5.26639
34.8405, -1.09895, -1.20806, 0.774218, 5.87862
35.1451, -1.57137, -0.611155, 0.734226, 5.89643
35.6328, -2.0208, -0.269075, 0.499769, 5.97811
36.1648, -2.26775, -0.148895, 0.231532, 5.9837
36.7009, -2.30083, 0.0847235, 0.306977, 5.90941
37.2274, -2.15117, 0.393841, 0.382113, 5.86479
37.6356, -1.81882, 0.767576, 0.438007, 5.81842
37.8579, -1.33283, 1.19843, 0.491799, 5.79383
37.8572, -0.757063, 1.6532, 0.522846, 5.78942
37.6588, -0.0916718, 2.11207, 0.851576, 5.76411
